,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,0.00189,https://api.spotify.com/v1/audio-analysis/573latfTMO7SpGtStVrQx5,0.603,163627,0.952,573latfTMO7SpGtStVrQx5,0.000445,6,0.317,-3.699,1,0.0947,133.97,4,https://api.spotify.com/v1/tracks/573latfTMO7SpGtStVrQx5,audio_features,spotify:track:573latfTMO7SpGtStVrQx5,0.588
1,0.000478,https://api.spotify.com/v1/audio-analysis/6cMswWRv4lAU3mh5lclgCc,0.612,216253,0.89,6cMswWRv4lAU3mh5lclgCc,0.0,10,0.0672,-2.827,0,0.047,118.989,4,https://api.spotify.com/v1/tracks/6cMswWRv4lAU3mh5lclgCc,audio_features,spotify:track:6cMswWRv4lAU3mh5lclgCc,0.886
2,0.332,https://api.spotify.com/v1/audio-analysis/773jtAD1DumFF8QTXnJV9X,0.726,278147,0.799,773jtAD1DumFF8QTXnJV9X,9.69e-06,4,0.364,-3.758,0,0.208,107.926,4,https://api.spotify.com/v1/tracks/773jtAD1DumFF8QTXnJV9X,audio_features,spotify:track:773jtAD1DumFF8QTXnJV9X,0.651
3,0.00144,https://api.spotify.com/v1/audio-analysis/64ybTt8CKxPdeXBNnu08Op,0.581,183893,0.968,64ybTt8CKxPdeXBNnu08Op,0.0238,1,0.161,-2.92,1,0.0373,120.004,4,https://api.spotify.com/v1/tracks/64ybTt8CKxPdeXBNnu08Op,audio_features,spotify:track:64ybTt8CKxPdeXBNnu08Op,0.905
4,0.0372,https://api.spotify.com/v1/audio-analysis/13P5rwmk2EsoFRIz9UCeh9,0.719,237627,0.671,13P5rwmk2EsoFRIz9UCeh9,8.21e-06,8,0.12,-6.279,1,0.0336,130.027,4,https://api.spotify.com/v1/tracks/13P5rwmk2EsoFRIz9UCeh9,audio_features,spotify:track:13P5rwmk2EsoFRIz9UCeh9,0.786
5,0.000728,https://api.spotify.com/v1/audio-analysis/6jrMVRReY24qzCfe1BRrww,0.556,191400,0.763,6jrMVRReY24qzCfe1BRrww,6.79e-06,6,0.071,-3.952,0,0.0413,138.986,4,https://api.spotify.com/v1/tracks/6jrMVRReY24qzCfe1BRrww,audio_features,spotify:track:6jrMVRReY24qzCfe1BRrww,0.814
6,0.00345,https://api.spotify.com/v1/audio-analysis/3kb38wezoUA8ki5jPYy3t5,0.597,238973,0.786,3kb38wezoUA8ki5jPYy3t5,0.0,5,0.0909,-4.248,1,0.0419,99.888,4,https://api.spotify.com/v1/tracks/3kb38wezoUA8ki5jPYy3t5,audio_features,spotify:track:3kb38wezoUA8ki5jPYy3t5,0.666
7,0.00108,https://api.spotify.com/v1/audio-analysis/7oK9VyNzrYvRFo7nQEYkWN,0.33,222587,0.936,7oK9VyNzrYvRFo7nQEYkWN,0.0,1,0.0926,-3.66,1,0.0917,148.112,4,https://api.spotify.com/v1/tracks/7oK9VyNzrYvRFo7nQEYkWN,audio_features,spotify:track:7oK9VyNzrYvRFo7nQEYkWN,0.234
8,0.000597,https://api.spotify.com/v1/audio-analysis/2hmibAtdObO8F4tnhLENuQ,0.488,219827,0.65,2hmibAtdObO8F4tnhLENuQ,0.714,9,0.101,-5.11,1,0.0336,158.011,4,https://api.spotify.com/v1/tracks/2hmibAtdObO8F4tnhLENuQ,audio_features,spotify:track:2hmibAtdObO8F4tnhLENuQ,0.77
9,0.0759,https://api.spotify.com/v1/audio-analysis/7BHPGtpuuWWsvE7cCaMuEU,0.391,203507,0.808,7BHPGtpuuWWsvE7cCaMuEU,0.0,8,0.149,-6.209,0,0.0892,100.304,4,https://api.spotify.com/v1/tracks/7BHPGtpuuWWsvE7cCaMuEU,audio_features,spotify:track:7BHPGtpuuWWsvE7cCaMuEU,0.737
10,5.63e-05,https://api.spotify.com/v1/audio-analysis/25nzKGDiua1lE9Qo5V19GL,0.579,246600,0.865,25nzKGDiua1lE9Qo5V19GL,0.000221,6,0.649,-4.692,1,0.0302,104.99,4,https://api.spotify.com/v1/tracks/25nzKGDiua1lE9Qo5V19GL,audio_features,spotify:track:25nzKGDiua1lE9Qo5V19GL,0.358
11,0.000158,https://api.spotify.com/v1/audio-analysis/4Ip2JTqyVA9OOEFvNAkzdf,0.563,235400,0.959,4Ip2JTqyVA9OOEFvNAkzdf,0.00053,11,0.0728,-4.981,0,0.0728,152.004,4,https://api.spotify.com/v1/tracks/4Ip2JTqyVA9OOEFvNAkzdf,audio_features,spotify:track:4Ip2JTqyVA9OOEFvNAkzdf,0.603
12,0.0318,https://api.spotify.com/v1/audio-analysis/4ubPQQahi6sMo1HlgYJtsy,0.479,221427,0.828,4ubPQQahi6sMo1HlgYJtsy,0.000118,7,0.158,-6.511,1,0.036,175.076,4,https://api.spotify.com/v1/tracks/4ubPQQahi6sMo1HlgYJtsy,audio_features,spotify:track:4ubPQQahi6sMo1HlgYJtsy,0.625
13,0.0347,https://api.spotify.com/v1/audio-analysis/3PvzvltQZLIKk9YgoMP3Yq,0.452,190160,0.716,3PvzvltQZLIKk9YgoMP3Yq,7.85e-06,1,0.294,-5.141,1,0.0313,174.037,4,https://api.spotify.com/v1/tracks/3PvzvltQZLIKk9YgoMP3Yq,audio_features,spotify:track:3PvzvltQZLIKk9YgoMP3Yq,0.317
14,0.103,https://api.spotify.com/v1/audio-analysis/3inoWFYIvANzeicpROiqas,0.622,175747,0.83,3inoWFYIvANzeicpROiqas,1.33e-05,6,0.0295,-4.539,1,0.0386,111.981,4,https://api.spotify.com/v1/tracks/3inoWFYIvANzeicpROiqas,audio_features,spotify:track:3inoWFYIvANzeicpROiqas,0.549
15,0.0755,https://api.spotify.com/v1/audio-analysis/3gbBpTdY8lnQwqxNCcf795,0.679,214148,0.715,3gbBpTdY8lnQwqxNCcf795,0.0,9,0.271,-6.383,1,0.0407,127.435,4,https://api.spotify.com/v1/tracks/3gbBpTdY8lnQwqxNCcf795,audio_features,spotify:track:3gbBpTdY8lnQwqxNCcf795,0.571
16,0.106,https://api.spotify.com/v1/audio-analysis/2dLLR6qlu5UJ5gk0dKz0h3,0.616,190185,0.432,2dLLR6qlu5UJ5gk0dKz0h3,0.0,7,0.132,-9.546,1,0.133,84.778,4,https://api.spotify.com/v1/tracks/2dLLR6qlu5UJ5gk0dKz0h3,audio_features,spotify:track:2dLLR6qlu5UJ5gk0dKz0h3,0.302
17,0.202,https://api.spotify.com/v1/audio-analysis/2Oehrcv4Kov0SuIgWyQY9e,0.327,175200,0.71,2Oehrcv4Kov0SuIgWyQY9e,9e-05,3,0.28,-2.928,1,0.0547,179.561,4,https://api.spotify.com/v1/tracks/2Oehrcv4Kov0SuIgWyQY9e,audio_features,spotify:track:2Oehrcv4Kov0SuIgWyQY9e,0.416
18,0.000532,https://api.spotify.com/v1/audio-analysis/4WiiRw2PHMNQE0ad6y6GdD,0.614,224674,0.938,4WiiRw2PHMNQE0ad6y6GdD,0.0,11,0.368,-4.461,1,0.0611,100.058,4,https://api.spotify.com/v1/tracks/4WiiRw2PHMNQE0ad6y6GdD,audio_features,spotify:track:4WiiRw2PHMNQE0ad6y6GdD,0.607
19,0.000972,https://api.spotify.com/v1/audio-analysis/7EOYLyD4pP4YJVgoVeKUQ1,0.707,206413,0.924,7EOYLyD4pP4YJVgoVeKUQ1,0.00703,7,0.204,-2.842,1,0.031,127.937,4,https://api.spotify.com/v1/tracks/7EOYLyD4pP4YJVgoVeKUQ1,audio_features,spotify:track:7EOYLyD4pP4YJVgoVeKUQ1,0.919
20,0.197,https://api.spotify.com/v1/audio-analysis/0lsqtZVyovtBSQtWdD44LH,0.573,212560,0.929,0lsqtZVyovtBSQtWdD44LH,0.000112,8,0.0567,-3.942,0,0.109,127.934,4,https://api.spotify.com/v1/tracks/0lsqtZVyovtBSQtWdD44LH,audio_features,spotify:track:0lsqtZVyovtBSQtWdD44LH,0.582
21,0.109,https://api.spotify.com/v1/audio-analysis/2QtJA4gbwe1AcanB2p21aP,0.596,217347,0.738,2QtJA4gbwe1AcanB2p21aP,0.0,8,0.0947,-3.109,1,0.0411,127.961,4,https://api.spotify.com/v1/tracks/2QtJA4gbwe1AcanB2p21aP,audio_features,spotify:track:2QtJA4gbwe1AcanB2p21aP,0.461
22,0.00666,https://api.spotify.com/v1/audio-analysis/0VffaI2jwQknRrxpECYHsF,0.723,410097,0.806,0VffaI2jwQknRrxpECYHsF,0.876,0,0.276,-4.989,1,0.0521,124.976,4,https://api.spotify.com/v1/tracks/0VffaI2jwQknRrxpECYHsF,audio_features,spotify:track:0VffaI2jwQknRrxpECYHsF,0.539
23,0.202,https://api.spotify.com/v1/audio-analysis/2Oehrcv4Kov0SuIgWyQY9e,0.327,175200,0.71,2Oehrcv4Kov0SuIgWyQY9e,9e-05,3,0.28,-2.928,1,0.0547,179.561,4,https://api.spotify.com/v1/tracks/2Oehrcv4Kov0SuIgWyQY9e,audio_features,spotify:track:2Oehrcv4Kov0SuIgWyQY9e,0.416
24,0.000478,https://api.spotify.com/v1/audio-analysis/6cMswWRv4lAU3mh5lclgCc,0.612,216253,0.89,6cMswWRv4lAU3mh5lclgCc,0.0,10,0.0672,-2.827,0,0.047,118.989,4,https://api.spotify.com/v1/tracks/6cMswWRv4lAU3mh5lclgCc,audio_features,spotify:track:6cMswWRv4lAU3mh5lclgCc,0.886
25,0.00166,https://api.spotify.com/v1/audio-analysis/6GIrIt2M39wEGwjCQjGChX,0.423,206520,0.94,6GIrIt2M39wEGwjCQjGChX,0.0,1,0.178,-4.012,0,0.0635,149.934,4,https://api.spotify.com/v1/tracks/6GIrIt2M39wEGwjCQjGChX,audio_features,spotify:track:6GIrIt2M39wEGwjCQjGChX,0.505
26,0.508,https://api.spotify.com/v1/audio-analysis/5Mw9bXG1dLNhbjofkVS2oR,0.262,536000,0.361,5Mw9bXG1dLNhbjofkVS2oR,0.00268,2,0.108,-10.191,1,0.0333,126.86,4,https://api.spotify.com/v1/tracks/5Mw9bXG1dLNhbjofkVS2oR,audio_features,spotify:track:5Mw9bXG1dLNhbjofkVS2oR,0.056
27,5.63e-05,https://api.spotify.com/v1/audio-analysis/25nzKGDiua1lE9Qo5V19GL,0.579,246600,0.865,25nzKGDiua1lE9Qo5V19GL,0.000221,6,0.649,-4.692,1,0.0302,104.99,4,https://api.spotify.com/v1/tracks/25nzKGDiua1lE9Qo5V19GL,audio_features,spotify:track:25nzKGDiua1lE9Qo5V19GL,0.358
28,0.000691,https://api.spotify.com/v1/audio-analysis/5i17G48swlxfwtQKeq5xcF,0.466,184853,0.9,5i17G48swlxfwtQKeq5xcF,0.0,0,0.55,-5.25,1,0.0458,127.914,4,https://api.spotify.com/v1/tracks/5i17G48swlxfwtQKeq5xcF,audio_features,spotify:track:5i17G48swlxfwtQKeq5xcF,0.282
29,0.00338,https://api.spotify.com/v1/audio-analysis/2gcB65AIGic7ixh4VoPAdg,0.557,200267,0.884,2gcB65AIGic7ixh4VoPAdg,0.000899,9,0.684,-6.511,0,0.0358,125.015,4,https://api.spotify.com/v1/tracks/2gcB65AIGic7ixh4VoPAdg,audio_features,spotify:track:2gcB65AIGic7ixh4VoPAdg,0.562
30,0.235,https://api.spotify.com/v1/audio-analysis/32nbCYpbE2XhXTNiXsXV9o,0.539,202067,0.626,32nbCYpbE2XhXTNiXsXV9o,2.47e-05,6,0.252,-5.876,1,0.045,130.191,4,https://api.spotify.com/v1/tracks/32nbCYpbE2XhXTNiXsXV9o,audio_features,spotify:track:32nbCYpbE2XhXTNiXsXV9o,0.549
31,0.0701,https://api.spotify.com/v1/audio-analysis/5RoIXwyTCdyUjpMMkk4uPd,0.531,230800,0.821,5RoIXwyTCdyUjpMMkk4uPd,0.171,2,0.124,-6.812,1,0.0439,129.139,4,https://api.spotify.com/v1/tracks/5RoIXwyTCdyUjpMMkk4uPd,audio_features,spotify:track:5RoIXwyTCdyUjpMMkk4uPd,0.34
32,0.00269,https://api.spotify.com/v1/audio-analysis/18wytWVCb4uleDcCtRxfYd,0.422,255227,0.967,18wytWVCb4uleDcCtRxfYd,1.59e-05,11,0.31,-4.327,1,0.113,94.921,4,https://api.spotify.com/v1/tracks/18wytWVCb4uleDcCtRxfYd,audio_features,spotify:track:18wytWVCb4uleDcCtRxfYd,0.322
0,0.00543,https://api.spotify.com/v1/audio-analysis/2BaXRCVgn621xHOGoFSuW5,0.622,204773,0.808,2BaXRCVgn621xHOGoFSuW5,5.63e-05,5,0.215,-4.701,1,0.0418,122.121,4,https://api.spotify.com/v1/tracks/2BaXRCVgn621xHOGoFSuW5,audio_features,spotify:track:2BaXRCVgn621xHOGoFSuW5,0.599
